,station,parameter,time,value
200,401,1,2011-06-01 03:00:00+00:00,0.0
201,453,1,2011-06-01 03:00:00+00:00,0.0
202,452,1,2011-06-01 03:00:00+00:00,5.7
203,355,1,2011-06-01 03:00:00+00:00,8.0
204,506,1,2011-06-01 03:00:00+00:00,13.7
205,315,1,2011-06-01 03:00:00+00:00,0.5
206,518,1,2011-06-01 03:00:00+00:00,5.7
207,356,1,2011-06-01 03:00:00+00:00,0.0
208,407,1,2011-06-01 03:00:00+00:00,10.0
209,323,1,2011-06-01 03:00:00+00:00,4.8
210,392,1,2011-06-01 03:00:00+00:00,0.0
211,457,1,2011-06-01 03:00:00+00:00,3.6
212,357,1,2011-06-01 03:00:00+00:00,28.8
213,410,1,2011-06-01 03:00:00+00:00,0.0
214,405,1,2011-06-01 03:00:00+00:00,0.0
215,464,1,2011-06-01 03:00:00+00:00,0.0
216,358,1,2011-06-01 03:00:00+00:00,0.0
217,408,1,2011-06-01 03:00:00+00:00,0.0
218,319,1,2011-06-01 03:00:00+00:00,0.0
219,510,1,2011-06-01 03:00:00+00:00,21.1
220,413,1,2011-06-01 03:00:00+00:00,0.0
221,316,1,2011-06-01 03:00:00+00:00,24.2
222,396,1,2011-06-01 03:00:00+00:00,0.0
223,412,1,2011-06-01 03:00:00+00:00,10.1
224,325,1,2011-06-01 03:00:00+00:00,15.2
225,458,1,2011-06-01 03:00:00+00:00,3.0
226,402,1,2011-06-01 03:00:00+00:00,0.0
227,359,1,2011-06-01 03:00:00+00:00,0.0
228,395,1,2011-06-01 03:00:00+00:00,11.9
229,303,1,2011-06-01 03:00:00+00:00,11.4
230,459,1,2011-06-01 03:00:00+00:00,29.3
231,411,1,2011-06-01 03:00:00+00:00,17.3
232,398,1,2011-06-01 03:00:00+00:00,18.0
233,360,1,2011-06-01 03:00:00+00:00,0.0
234,305,1,2011-06-01 03:00:00+00:00,1.2
235,416,1,2011-06-01 03:00:00+00:00,0.0
236,463,1,2011-06-01 03:00:00+00:00,0.2
237,511,1,2011-06-01 03:00:00+00:00,0.0
238,415,1,2011-06-01 03:00:00+00:00,38.0
239,418,1,2011-06-01 03:00:00+00:00,4.0
240,507,1,2011-06-01 03:00:00+00:00,12.2
241,363,1,2011-06-01 03:00:00+00:00,18.5
242,393,1,2011-06-01 03:00:00+00:00,0.0
243,400,1,2011-06-01 03:00:00+00:00,0.0
244,309,1,2011-06-01 03:00:00+00:00,0.0
245,422,1,2011-06-01 03:00:00+00:00,6.0
246,509,1,2011-06-01 03:00:00+00:00,6.5
247,421,1,2011-06-01 03:00:00+00:00,0.0
