,station,parameter,time,value,station__location,station__elevation,longitude,latitude
274,742,1,2011-06-01 03:00:00+00:00,1,SRID=4326;POINT (81.44431944 28.95029444),632,81.44431944,28.95029444
275,35,1,2011-06-01 03:00:00+00:00,12,SRID=4326;POINT (84.8782 27.0232),67,84.8782,27.0232
276,732,1,2011-06-01 03:00:00+00:00,320.5,SRID=4326;POINT (81.14278111 28.62827889),167,81.14278111,28.62827889
277,50,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.76614389 28.15715389),153,81.76614389,28.15715389
278,722,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.21030694 28.65399306),863,82.21030694,28.65399306
279,747,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (87.278648 26.698692),120,87.278648,26.698692
280,748,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.72612222 27.84243056),287,82.72612222,27.84243056
281,746,1,2011-06-01 03:00:00+00:00,16.5,SRID=4326;POINT (84.4345037 27.6774101),216,84.4345037,27.6774101
282,352,1,2011-06-01 03:00:00+00:00,23.6,SRID=4326;POINT (81.37293889 29.17980694),1668,81.37293889,29.17980694
283,354,1,2011-06-01 03:00:00+00:00,2.5,SRID=4326;POINT (80.38900389 29.74093194),1167,80.38900389,29.74093194
284,320,1,2011-06-01 03:00:00+00:00,20.8,SRID=4326;POINT (88.00375 26.39616667),71,88.00375,26.39616667
285,414,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (85.5715 27.7922),774,85.5715,27.7922
286,349,1,2011-06-01 03:00:00+00:00,18.1,SRID=4326;POINT (81.27481306 29.28495694),1548,81.27481306,29.28495694
287,406,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.76287778 29.03154722),2440,82.76287778,29.03154722
288,310,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.97433333 29.37795278),2380,81.97433333,29.37795278
289,353,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (80.44044194 28.86185889),189,80.44044194,28.86185889
290,350,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.14979306 28.96464889),1180,81.14979306,28.96464889
291,403,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.58836111 29.12995833),1090,81.58836111,29.12995833
292,351,1,2011-06-01 03:00:00+00:00,12.3,SRID=4326;POINT (81.33385889 29.35291694),917,81.33385889,29.35291694
293,317,1,2011-06-01 03:00:00+00:00,320,SRID=4326;POINT (84.991582 27.282872),310,84.991582,27.282872
294,404,1,2011-06-01 03:00:00+00:00,8.8,SRID=4326;POINT (81.70275806 30.05183389),2859,81.70275806,30.05183389
295,313,1,2011-06-01 03:00:00+00:00,3,SRID=4326;POINT (84.98 27.16416667),137,84.98,27.16416667
296,453,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (84.3431641 27.4589827),240,84.3431641,27.4589827
297,451,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.89851944 28.01836389),150,81.89851944,28.01836389
298,355,1,2011-06-01 03:00:00+00:00,8,SRID=4326;POINT (80.58775194 29.301352),1879,80.58775194,29.301352
299,401,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (83.681614 28.740909),2655,83.681614,28.740909
